Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like,Sentiment_Score
The Great Wall,长城,2016-12-16,1, 张艺谋已死！,9876,1.5496618927809
The Great Wall,长城,2016-12-15,2, 一群你的名字叫饕餮的怪兽从外部成功翻墙最终被掐WiFi的惨烈故事。电影里外，景甜身家背景都是世纪谜团。从选角开始，电影就呈现崩坏之势，最终炸裂于九层妖塔。中国大鼓跳水射箭焰火孔明灯队的节目单拉得漂亮，张艺谋也从大红大绿彻底进化到了五颜六色，余生可用【印象·怪兽】大型文体表演行销世界,6974,27.015678734236406
The Great Wall,长城,2016-12-15,1, 张艺谋老师真Cult！想象他一边剪片子一边哼着小曲儿：这白里透着红啊，红里透着黑，黑不溜啾，绿了叭叽，蓝哇哇的，紫不溜啾，粉嘟噜的透着那个美！,6522,6.2414201770763
The Great Wall,长城,2016-12-15,1, 很好，张艺谋这次终于卸下他过往的艺术家包袱了，华丽转身，与以前的自己彻底说再见。,6705,9.59909763054395
The Great Wall,长城,2016-12-15,1, 皇上是TFBOY，统帅是景甜，你国怎能不亡？我曾以为张艺谋还有救，但他只是一直在证明他可以拍的更烂。,6461,-1.8860286635463996
The Great Wall,长城,2016-12-12,1, 一场缩减版的奥运会开幕式。亮点是张艺谋用饕餮影射片中的高片酬无演技演员，他用惯用的人海战术勾兑出一部毫无新意的“景甜奥特曼”打小怪兽片。留给影迷讨论的只有女主角的身世背景。一个商业片、灾难片！居然不好好讲故事！你们知道魔兽世界咋赔的？长城就是下一个。不知道张艺谋为啥要接这个活儿！,3314,12.850427883462302
The Great Wall,长城,2016-12-15,1, 跳水体操射箭铅球标枪马术展示了中国奥运健儿的风采。如果强迫自己不去想：卧槽说英语？卧槽剧情太扯了！卧槽演得这么烂？卧槽景甜戏这么多还不死？卧槽这不科学…那还算是部能看的好莱坞片。刘德华意外成为演技担当。张艺谋突破自己变成除大场面大色调外毫无存在感的导演。也许是被人用枪指着头拍的吧,3725,-8.616894911186218
The Great Wall,长城,2016-12-17,1, 一星半，失望透顶。西式的特效怪兽与张艺谋大型精神文明建设一样的方队团体操格格不入，好像一边准备打仗，一边要上台表演，更像一个中西结合失败的怪胎。五军设定完全是摆设，搞不懂有何意义。所谓好莱坞经典剧本模式，实际就是烂梗与套路。故事讲得无趣，节奏也不好，别甩锅演员了，谁演也是烂片,2568,3.5361940349541015
The Great Wall,长城,2016-12-15,1, 1.片名真好意思叫《长城》？不如叫《景甜还未开始就已经结束的初恋》吧！2.画面净在肤浅地卖弄中国元素，白瞎了这演员阵容，没一个华语演员记得住；3.好吧，除了陈学冬，陈学冬的演技在经过郭敬明的调教后，在本片中浑身解数，发挥得淋漓精致。,2791,25.533207976369194
The Great Wall,长城,2016-12-13,1, 割裂的五军，汴梁一役就毫无功能。脑残的饕餮，只能吸引密集爱好者。敬业的刘华，你的港普永远格格不入。美丽的景甜，你是片中的唯一。PS：张涵予，刘德华，鹿晗，陈学冬都死了，剧透完毕！,2445,10.8309474280353
