Movie_Name_EN,Movie_Name_CN,Date,Star,Comment,Like
My Sunshine,何以笙箫默,2015-04-27,1, 同档的《念念》《闯入者》排片低到冰点，而《何以》这枚烂屎占据了半壁江山。不禁想问，国产片是被什么都能将就的小年轻惯坏的，还是被金钱操纵的影视游戏，早已排斥了那些空怀抱负落寞的手艺人。艺术从来是被辜负的，这个时代没有责任再发声。篡改一句黄的台词：“我们是疯了，才被它这样践踏。”,4354
My Sunshine,何以笙箫默,2015-04-29,1, 有杨幂黄晓明杨颖中间的任何一人的电影肯定3星以下，有两人的肯定2星一下，三人同时聚齐必定一星，信我没错,3757
My Sunshine,何以笙箫默,2015-04-29,1," 杨幂,生活中是个不好笑的自黑段子手,工作上是个零演技的演员.本质上是个不好看的花瓶.AB和黄二明在生活中不像情侣,在戏里不像兄妹,归根到底:两人的演技都很屎.大家别再笑四娘作家也能当导演,这部戏的导演是教主经纪人,感觉烂片的下限又被拉低了.教主是投资人,恋情炒得再凶,我就不看就不给你们凑分子钱.",3152
My Sunshine,何以笙箫默,2015-04-30,1, 前几分钟还在兴致勃勃的组织着各种吐槽语。可没过多久就决定放弃了，这样的电影实在很难几句话就喷完。其剧情之狗血，台词之矫情，表演之生硬，叙事之混乱，以及男女主如拉锯一样无休止的爱来恨去。我非常期待下载出来之后，大家在A、B站逐个镜头弹幕的时刻。,2010
My Sunshine,何以笙箫默,2015-04-08,1, 这片子，有一句说得太对了，丢死人了。,1625
My Sunshine,何以笙箫默,2015-04-28,1, 像是《小时代》XO《中国合伙人》杂交之后的一坨畸形便便~,1516
My Sunshine,何以笙箫默,2015-04-26,1, 喜欢这部关于甲亢患者如何谈恋爱的片子。主要剧情有：强吻，要上了，跑了；强吻，要上了，跑了；强吻，要上了，下雨了；强吻，上了，上完又跑了…,1442
My Sunshine,何以笙箫默,2015-04-26,1, 为什么不能打一颗星，看完这个觉得《匆匆那年》拍得实在太好了。还有，监制是黄晓明，大家买票去看的得小心了，里面全是他下巴的特写！,1219
My Sunshine,何以笙箫默,2015-04-26,1, 人物行为毫无逻辑，剪辑（或者说剧本？）毫无过渡，角色想法说变就变，一个个都像是神经病。剧情俗套，先情侣互作，后掺杂上辈恩怨，真low。另外，陈冲简简单单两场戏，对比后辈，她那表演上的优势都是碾压式的。至少有两场戏是专门为植入广告写的……全片真腥。,1021
My Sunshine,何以笙箫默,2015-04-11,1, hxm：烂片老王子！！！！！,933
My Sunshine,何以笙箫默,2015-04-26,1, 虽然没看过电视剧版，但至少比电影版好二十个小时代吧。,919
My Sunshine,何以笙箫默,2015-04-27,1, 黄晓明演何以琛？手动再见。默笙大学短发七年后长发？手动再见。Angelababy演以玫？手动再见。黄晓明杨幂演大学生？手动再见。还有黄子韬？我手都挥断了好么。,867
My Sunshine,何以笙箫默,2015-04-25,1, 嗯。这阵容和这小说尿性。我觉得提前打一星是没有问题的。PS:不要怪观众谁人傻钱多，也要看排片的那边是什么样的圈钱下作。千言万语的脏话涌上心头，都不及一句我问候该片所有主创和排片方一句——“操你妈。”来的直接。,809
My Sunshine,何以笙箫默,2015-04-26,1, 26日提前上映看的。我只想说有点职业道德就用心好好拍一部。男女主角的演技什么时候能提升？总用绯闻炒作，还是混娱乐圈吧。别混电影圈，制造垃圾了。,742
My Sunshine,何以笙箫默,2015-04-26,1, 看黄晓明+杨幂全中国前两名的伪颜值+最本色演员本色出演莫名咚咚咚*N一出~中途凭借刷脸大法和麦麸吴杰超笑点暂时性忽略了ab+刘恺威的脑内脸。祝票房大卖,664
My Sunshine,何以笙箫默,2015-04-26,1, 杨幂每部现代戏都能演出林萧的感觉，这算不算悲剧？,684
My Sunshine,何以笙箫默,2015-04-26,1, 唯有富春山居图可与之一战的烂片，看完之后，我觉得小时代还算可以,581
My Sunshine,何以笙箫默,2015-04-26,2, 排片何以>赤道>念念>闯入者。评分何以<赤道<念念<闯入者。国产片前途无量呵…导演恨不得拍成一部小时代，故事瞎推进，对白、人物行为都不在正常人的情商上，如那句台词一样，不是醉了，是疯了。（给两星是因为后一个小时在玩手机）,530
My Sunshine,何以笙箫默,2015-04-26,1, 天了噜！我一定要收回我昨天的评价！《何以笙箫默》才是今年的烂片之王吧，《左耳》和他之间应该至少有一百个《致青春》的差距，这摄影不加黄色滤镜就不会拍片吧，里面所有人都跟新生儿黄疸似的。。。不过还是悬崖勒马，没有打破致青春的的地位,515
My Sunshine,何以笙箫默,2015-04-27,1, 提前看了。有望当选年度最烂电影。我想，即使是在中国漫漫电影史上，这部电影也是烂的毫不逊色的。厉害，佩服。,503
My Sunshine,何以笙箫默,2015-04-10,1, 看见黄晓明那张脸就一阵阵的犯恶心.......,371
My Sunshine,何以笙箫默,2015-04-29,1, 没什么好说的 杨幂和黄晓明是怎么爬到一线位置的 演技双双为零。,380
My Sunshine,何以笙箫默,2015-04-28,1, 美图手机大片，集黑狗血大成。都一把年纪了，还想着往校园里窜，大概真是觉得学生们最能承受这种男默女泪的玩意。黄晓明有80%的镜头都是一行清泪流，他应该去代言美国标准的花洒。以及，谁说只有王家卫和侯孝贤可以玩字幕卡，我中国青春片同样可以。,301
My Sunshine,何以笙箫默,2015-04-27,1, 年度最烂没有之一,351
My Sunshine,何以笙箫默,2015-04-27,1, 杨幂输给了她的面瘫姐妹唐嫣，黄晓明则还是黑帮老大敌不过一脸正气的钟汉良，两块老菜皮非要连十八九岁的大学生一起演，导致镜头连背景一起磨皮，看得难受得要死。小说只有情节没有逻辑的短板也在电影版暴露无遗，完全没看过小说的朋友看完表示这俩神经病到底为啥要这样啊好奇怪，没有感动只有吐槽。,356
My Sunshine,何以笙箫默,2015-04-24,1, 很少有难看到让我想骂娘的片子，这算一部。啊，那每隔十分钟就想离场的痛苦。,319
My Sunshine,何以笙箫默,2015-04-26,1, 而我看电影不愿意将就。,267
My Sunshine,何以笙箫默,2015-04-12,1, 请把五一档还给妇联2！,289
My Sunshine,何以笙箫默,2015-04-29,1, 点映场的枪版啊别说怎么没上映就来打低分了…拼凑档期的演员名单，两个莫名其妙的导演，版权没有拎清楚的公司，如此短的制作周期，上映的时间…注定是圈钱烂片无疑啊…想问问两位主演粉丝，圈钱圈得如此没皮没脸的偶像，你们还能饭多久？心疼下爸妈赚钱好么…此片就是，林萧和许文强在谈恋爱。,308
My Sunshine,何以笙箫默,2015-04-26,1, 人生中第一次提前离场贡献给了这个东东，不，我不会叫它电影的，唉，这是什么东西啊，导演你自己都不想拍，为什么要让人看啊。,279
My Sunshine,何以笙箫默,2015-04-24,1, 这也叫电影，弱智对白弱智人物，没头没尾，跟小时代PPT没区别，白天说再也不想见到你晚上就去砸门冲进去强吻强暴要结婚，反反复复100多分钟，浪费时间。华少何穗演技浮夸到不能，杨幂的声音听得人简直无法忍受，烂片！,250
My Sunshine,何以笙箫默,2015-04-30,1, 何以烂如此，何以无负分。,240
My Sunshine,何以笙箫默,2015-04-30,1, 手机没电了！！！爆米花吃完了！！！饮料喝光了！！！尼玛我只能用吸管搅冰块儿玩了！！！圈钱圈到臭不要脸了！！！良心呢！！！,259
My Sunshine,何以笙箫默,2015-04-27,1, 教主一哭 世界都笑了,230
My Sunshine,何以笙箫默,2015-04-26,1, 半截身子都入土了，能不演大二学生吗，真是自我感觉过于良好。不提黄晓明和杨幂两位烂片指南针，看到黄子韬我都想给负分。,226
My Sunshine,何以笙箫默,2015-04-26,1, 啥鸡巴玩意儿……stinky feet说话的声音从头到尾跟被猫抓了一样,201
My Sunshine,何以笙箫默,2015-04-30,1, 天啊我是在我妈妈的要求下陪她去看的，整个过程我都在强忍着满身的鸡皮疙瘩，玛丽苏杰克苏到死了，杨幂的鼻孔黄晓明的下巴ab的嘴巴堪称五官届三大奇迹了吧。噢，还有一个不知道存在意义的黄子韬，每次听到他说那口青岛普通话都好难受。,206
My Sunshine,何以笙箫默,2015-04-22,1," 看的媒体场,坚持了20分钟就被雷出来了.田雷滚滚,挑战底线.我就算吐啊吐啊的都习惯不了",210
My Sunshine,何以笙箫默,2015-04-27,1, 看了昨天的点映，佩服制片方的勇气。满满槽点到都无力赘述,214
My Sunshine,何以笙箫默,2015-04-27,1, 又慢又拖又傻又土，那LOW逼大柔光，那不走心的表演和壁咚，一群中老年人揣测年轻玛丽苏的爱情，一无是处，人人都讽刺玛丽苏，可这真是一个搞玛丽苏都没搞好的片子，祝仆街。,194
My Sunshine,何以笙箫默,2015-04-27,1, 影评比电影好看。,213
My Sunshine,何以笙箫默,2015-04-24,1, “吃榴莲糖是因为留恋”我不知道这是原著写的还是自己编的，真想说一句，sb。,184
My Sunshine,何以笙箫默,2015-04-29,1, 我估计本片将会差《匆匆那年》一百个《小时代》,170
My Sunshine,何以笙箫默,2015-04-27,1, 可以打半颗星么？脑壳崩了才被忽悠去看。看到评论说，PPT跟MV有差别么？笑成狗,185
My Sunshine,何以笙箫默,2015-04-26,1, 烂得很特别，也就是特别的烂。,168
My Sunshine,何以笙箫默,2015-04-26,1, 剪得乱七八糟莫名其妙的狗血装b烂片，冲自掏看的，毕竟曾经喜欢过，看前对他的颜值没抱什么希望，但一开场那身西装真的惊艳到我了，wuli韬韬身材还是不错的。,174
My Sunshine,何以笙箫默,2015-04-27,1, 这么杰克苏的角色教主一定演得很爽……套用我朋友的话，那个大柔光打得，人脸都化成一滩了……,153
My Sunshine,何以笙箫默,2015-04-28,1, 情节跳脱不连贯，完成任务式地把小说内容展示了一遍。教主的表演完全可以用装逼+逗比概括，和杨幂的配合让人全程满满的尴尬感。一星不能再多了，我也不愿将就！,158
My Sunshine,何以笙箫默,2015-04-27,1, 剧情完全是碎片化的，没有任何技术含量，结果只能选择提前离场,164
My Sunshine,何以笙箫默,2015-04-26,1, 别浪费钱和时间了...,155
My Sunshine,何以笙箫默,2015-04-24,1, 哈哈哈，用QQ空间签名当字幕卡也是挺奇葩的。,127
My Sunshine,何以笙箫默,2015-04-25,1, 一堆假脸，无病呻吟的剧情就这样搬上了荧幕………。,140
My Sunshine,何以笙箫默,2015-04-28,1, 词穷了 真的,150
My Sunshine,何以笙箫默,2015-04-27,1, 太烂了······,135
My Sunshine,何以笙箫默,2015-04-26,1, 看了十分钟就受不了了,131
My Sunshine,何以笙箫默,2015-04-26,1, 垃圾,124
My Sunshine,何以笙箫默,2015-04-29,1, 一星都是抬举。如果不是陈冲和结婚登记处的阿姨撑演技，你们这时不时飞来酱油瓶的二人转演技简直可以重回莲花乡池水沟子回炉了！,144
My Sunshine,何以笙箫默,2015-04-28,1, 我對不起那即將過期的電影票，用的真是一點價值都沒有啊⋯⋯,127
My Sunshine,何以笙箫默,2015-04-27,1, 噩梦。,129
My Sunshine,何以笙箫默,2015-04-27,1, 简直太low了，不想评价什么了。,126
My Sunshine,何以笙箫默,2015-04-26,1, 又一部年度大烂片,124
My Sunshine,何以笙箫默,2015-04-30,1, 左耳终于在一片差评当中，迎来了挡枪的片子！,125
My Sunshine,何以笙箫默,2015-04-27,1, 烂到令人发指，禁止连PPT都算不上。那天去看片，没看到前一场的何以，只看了后一场的赤道，出来已经憋了满肚子的恶毒话。到了何以这， 我觉得赤道太好看了。。。。,126
My Sunshine,何以笙箫默,2015-04-29,1, 烂到令人发指！看见黄教主一本正经念台词我就觉得好出戏…杨幂演什么都像小时代…,132
My Sunshine,何以笙箫默,2015-04-11,1, 看到两个主演。。。我真是X了狗了,119
My Sunshine,何以笙箫默,2015-04-30,1, 我同学幂幂粉，逃课去看的超前点映，她都说烂，那就是真烂咯～,117
My Sunshine,何以笙箫默,2015-04-27,1, 不能更烂,112
My Sunshine,何以笙箫默,2015-04-29,1, 这他妈不是小时代吗 ,97
My Sunshine,何以笙箫默,2015-05-01,1, 这大概是国内第一部，男女主角因为“感冒复方颗粒”停止爱爱的电影....为了黄晓明的身高，摄像师基本摒弃了全景，几乎采用仰拍，仰拍，仰拍，仰拍....也是用心良苦.....,105
